ID,Domain,Sub-Domain,Topic Area,Question Text,Choice A,Choice B,Choice C,Choice D,Choice E,Choice F,Choice G,Choice H,Choice I,Choice J,Choice K,Choice L,Choice N,Choice N,Correct Answer(s)
130,,,,"By allowing storage communications to run on top of Transmission Control Protocol/Internet Protocol (TCP/IP) with a Storage Area Network (SAN), the",confidentiality of the traffic is protected.,opportunity to sniff network traffic exists.,opportunity for device identity spoofing is eliminated.,storage devices are protected against availability attacks.,,,,,,,,,,,B
131,,,,The three PRIMARY requirements for a penetration test are,"A defined goal, limited time period, and approval of management","A general objective, unlimited time, and approval of the network administrator","An objective statement, disclosed methodology, and fixed cost","A stated objective, liability waiver, and disclosed methodology",,,,,,,,,,,A
132,,,,Internet Protocol (IP) source address spoofing is used to defeat,address-based authentication.,Address Resolution Protocol (ARP).,Reverse Address Resolution Protocol (RARP).,Transmission Control Protocol (TCP) hijacking.,,,,,,,,,,,A
133,,,,Which of the following BEST represents the principle of open design?,"Disassembly, analysis, or reverse engineering will reveal the security functionality of the computer system.",Algorithms must be protected to ensure the security and interoperability of the designed system.,A knowledgeable user should have limited privileges on the system to prevent their ability to compromise security capabilities.,The security of a mechanism should not depend on the secrecy of its design or implementation.,,,,,,,,,,,D
134,,,,Which of the following elements MUST a compliant EU-US Safe Harbor Privacy Policy contain?,An explanation of how long the data subject's collected information will be retained for and how it will be eventually disposed.,An explanation of who can be contacted at the organization collecting the information if corrections are required by the data subject.,An explanation of the regulatory frameworks and compliance standards the information collecting organization adheres to.,An explanation of all the technologies employed by the collecting organization in gathering information on the data subject.,,,,,,,,,,,B
135,,,,Alternate encoding such as hexadecimal representations is MOST often observed in which of the following forms of attack?,Smurf,Rootkit exploit,Denial of Service (DoS),Cross site scripting (XSS),,,,,,,,,,,D
136,,,,The stringency of an Information Technology (IT) security assessment will be determined by the,system's past security record.,size of the system's database.,sensitivity of the system's data.,age of the system.,,,,,,,,,,,C
137,,,,Which of the following is a potential risk when a program runs in privileged mode?,It may serve to create unnecessary code complexity,It may not enforce job separation duties,It may create unnecessary application hardening,It may allow malicious code to be inserted,,,,,,,,,,,D
138,,,,A system has been scanned for vulnerabilities and has been found to contain a number of communication ports that have been opened without authority. To which of the following might this system have been subjected? 3,Trojan horse,Denial of Service (DoS),Spoofing,Man-in-the-Middle (MITM),,,,,,,,,,,A
139,,,,"When building a data center, site location and construction factors that increase the level of vulnerability to physical threats include",hardened building construction with consideration of seismic factors.,adequate distance from and lack of access to adjacent buildings.,curved roads approaching the data center.,proximity to high crime areas of the city.,,,,,,,,,,,D
140,,,,Which of the following is ensured when hashing files during chain of custody handling?,Availability,Accountability,Integrity,Non-repudiation,,,,,,,,,,,C
141,,,,The birthday attack is MOST effective against which one of the following cipher technologies?,Chaining block encryption,Asymmetric cryptography,Cryptographic hash,Streaming cryptography,,,,,,,,,,,C
142,,,,The key benefits of a signed and encrypted e-mail include,"confidentiality, authentication, and authorization.","confidentiality, non-repudiation, and authentication.","non-repudiation, authorization, and authentication.","non-repudiation, confidentiality, and authorization.",,,,,,,,,,,B
143,,,,"At a MINIMUM, a formal review of any Disaster Recovery Plan (DRP) should be conducted",monthly.,quarterly.,annually.,bi-annually.,,,,,,,,,,,C
144,,,,Which of the following is the BEST mitigation from phishing attacks?,Network activity monitoring,Security awareness training,Corporate policy and procedures,Strong file and directory permissions,,,,,,,,,,,B
